,Unnamed: 0,question,answer,context,mostUse,Newquestion,Question_Generate,Answer_Generate
10,10,What was the first album Beyoncé released as a solo artist?,Dangerously in Love,beyoncé giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions **child** rose fame late lead singer girl group destiny **child** managed father mathew knowles group became world best selling girl groups time hiatus release beyoncé debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('child', 2)","('What group did beyoncé manage?', 'child [TGT] rose fame late lead singer girl group destiny [TGT] child', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What group did beyoncé manage?,child  rose fame late lead singer girl group destiny  child
11,11,When did Beyoncé release Dangerously in Love?,2003,beyoncé **giselle** knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release beyoncé debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('giselle', 1)","(""What is the name of beyonce's mother?"", 'giselle', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is the name of beyonce's mother?,giselle
12,12,How many Grammy awards did Beyoncé win for her first solo album?,five,beyoncé giselle knowles carter biːˈjɒnseɪ **born** september american singer songwriter record producer actress **born** raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release beyoncé debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('born', 2)","('When was beyoncé born?', 'born [TGT] september american singer songwriter record producer actress [TGT] born', ['Word not found in Wordnet. So unable to extract distractors.'], None)",When was beyoncé born?,born  september american singer songwriter record producer actress  born
13,13,What was Beyoncé's role in Destiny's Child?,lead singer,beyoncé giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release beyoncé debut album dangerously **love** established solo artist worldwide earned five grammy awards featured billboard number singles crazy **love** baby,"('love', 2)","(""What was the name of beyoncé's debut album?"", 'love [TGT] established solo artist worldwide earned five grammy awards featured billboard number singles crazy [TGT] love', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What was the name of beyoncé's debut album?,love  established solo artist worldwide earned five grammy awards featured billboard number singles crazy  love
14,14,What was the name of Beyoncé's first solo album?,Dangerously in Love,beyoncé giselle knowles carter biːˈjɒnseɪ born september american **singer** songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead **singer** girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release beyoncé debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('singer', 2)","(""What is beyoncé's career?"", 'singer [TGT] songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead [TGT] singer', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What is beyoncé's career?,singer  songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead  singer
15,15,"After her second solo album, what other entertainment venture did Beyonce explore?",acting,following disbandment destiny **child** june released second solo album contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third album sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth album subsequently mellower tone exploring funk soul critically acclaimed fifth studio album beyoncé distinguished previous releases experimental production exploration darker themes,"('child', 1)","(""What is the name of beyonce's second solo album?"", 'child', ['Baby', 'Bastard', 'Firstborn', 'Grandchild', 'Successor'], 'a human offspring (son or daughter) of any age')",What is the name of beyonce's second solo album?,child
16,16,Which artist did Beyonce marry?,Jay Z,following disbandment destiny child june released second solo album contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third album sasha **fierce** birth alter sasha **fierce** earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth album subsequently mellower tone exploring funk soul critically acclaimed fifth studio album beyoncé distinguished previous releases experimental production exploration darker themes,"('fierce', 2)","('What was the title of the third album by beyonce?', 'fierce [TGT] birth alter sasha [TGT] fierce', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What was the title of the third album by beyonce?,fierce  birth alter sasha  fierce
17,17,"To set the record for Grammys, how many did Beyonce win?",six,following disbandment destiny **child** june released second solo album contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third album sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth album subsequently mellower tone exploring funk soul critically acclaimed fifth studio album beyoncé distinguished previous releases experimental production exploration darker themes,"('child', 1)","(""What is the name of beyonce's second solo album?"", 'child', ['Baby', 'Bastard', 'Firstborn', 'Grandchild', 'Successor'], 'a human offspring (son or daughter) of any age')",What is the name of beyonce's second solo album?,child
18,18,For what movie did Beyonce receive  her first Golden Globe nomination?,Dreamgirls,following **disbandment** destiny child june released second solo album contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third album sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth album subsequently mellower tone exploring funk soul critically acclaimed fifth studio album beyoncé distinguished previous releases experimental production exploration darker themes,"('disbandment', 1)","('What caused destiny child to release a second album?', 'disbandment', ['Action', 'Assembly', 'Attendance', 'Brainstorming', 'Communalism', 'Competition', 'Confederation', 'Conflict', 'Cooperation', ""Coup D'etat"", 'Decolonization', 'Democratization', 'Disestablishment', 'Due Process', 'Engagement', 'Ethnic Cleansing', 'Exchange', 'Integration', 'Internationalization', 'Legalization', 'Military Action', 'Nationalization', 'Non-engagement', 'Nonattendance', 'Nonresistance', 'Procession', 'Rally', 'Resistance', 'Return', 'Revolution', 'Separation', 'Social Activity', 'Social Control', 'Socialization', 'Stampede', 'Submission', 'Transaction', 'Vote'], 'the act of disbanding')",What caused destiny child to release a second album?,disbandment
19,19,When did Beyonce take a hiatus in her career and take control of her management?,2010,following disbandment destiny child june released second solo album contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third album sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé **took** hiatus music **took** management career fourth album subsequently mellower tone exploring funk soul critically acclaimed fifth studio album beyoncé distinguished previous releases experimental production exploration darker themes,"('took', 2)","('What did beyoncé do with hiatus music?', 'took [TGT] hiatus music [TGT] took', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What did beyoncé do with hiatus music?,took  hiatus music  took
20,20,Which album was darker in tone from her previous work?,Beyoncé,following disbandment destiny **child** june released second solo album contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third album sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth album subsequently mellower tone exploring funk soul critically acclaimed fifth studio album beyoncé distinguished previous releases experimental production exploration darker themes,"('child', 1)","(""What is the name of beyonce's second solo album?"", 'child', ['Baby', 'Bastard', 'Firstborn', 'Grandchild', 'Successor'], 'a human offspring (son or daughter) of any age')",What is the name of beyonce's second solo album?,child
21,21,"After what movie portraying Etta James, did Beyonce create Sasha Fierce?",Cadillac Records,following disbandment **destiny** child june released second solo album contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third album sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth album subsequently mellower tone exploring funk soul critically acclaimed fifth studio album beyoncé distinguished previous releases experimental production exploration darker themes,"('destiny', 1)","('What was the name of the child beyonce released after her disbandment?', 'destiny', ['Accident', 'Accompaniment', 'Appearance', 'Avalanche', 'Beginning', 'Boom', 'Case', 'Change', 'Collapse', 'Contact', 'Convergence', 'Crash', 'Disappearance', 'Discharge', 'Ending', 'Episode', 'Error', 'Eventuality', 'Experience', 'Failure', 'Finish', 'Fire', 'Flash', 'Incident', 'Interruption', 'Juncture', 'Miracle', 'Movement', 'News Event', 'One-off', 'Outbreak', 'Outburst', 'Periodic Event', 'Reverse', 'Sound', 'Success', 'Supervention', 'Thing', 'Treat', 'Trouble', 'Union', 'Wonder'], 'an event (or a course of events) that will inevitably happen in the future')",What was the name of the child beyonce released after her disbandment?,destiny
22,22,When did Destiny's Child end their group act?,June 2005,following disbandment destiny child june released second solo **album** contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third **album** sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth **album** subsequently mellower tone exploring funk soul critically acclaimed fifth studio **album** beyoncé distinguished previous releases experimental production exploration darker themes,"('album', 4)","('What album did destiny child june release?', 'album [TGT] contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third [TGT] album [TGT] sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth [TGT] album [TGT] subsequently mellower tone exploring funk soul critically acclaimed fifth studio [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What album did destiny child june release?,album  contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third  album  sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth  album  subsequently mellower tone exploring funk soul critically acclaimed fifth studio  album
23,23,What was the name of Beyoncé's second solo album?,B'Day,following disbandment destiny child june released second solo **album** contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third **album** sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth **album** subsequently mellower tone exploring funk soul critically acclaimed fifth studio **album** beyoncé distinguished previous releases experimental production exploration darker themes,"('album', 4)","('What album did destiny child june release?', 'album [TGT] contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third [TGT] album [TGT] sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth [TGT] album [TGT] subsequently mellower tone exploring funk soul critically acclaimed fifth studio [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What album did destiny child june release?,album  contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third  album  sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth  album  subsequently mellower tone exploring funk soul critically acclaimed fifth studio  album
24,24,"What was Beyoncé's first acting job, in 2006?",Dreamgirls,following disbandment destiny child june released second solo album contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third album **sasha** fierce birth alter **sasha** fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth album subsequently mellower tone exploring funk soul critically acclaimed fifth studio album beyoncé distinguished previous releases experimental production exploration darker themes,"('sasha', 2)","(""what was the name of beyonce's third album?"", 'sasha [TGT] fierce birth alter [TGT] sasha', ['Word not found in Wordnet. So unable to extract distractors.'], None)",what was the name of beyonce's third album?,sasha  fierce birth alter  sasha
25,25,Who is Beyoncé married to?,Jay Z,following **disbandment** destiny child june released second solo album contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third album sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth album subsequently mellower tone exploring funk soul critically acclaimed fifth studio album beyoncé distinguished previous releases experimental production exploration darker themes,"('disbandment', 1)","('What caused destiny child to release a second album?', 'disbandment', ['Action', 'Assembly', 'Attendance', 'Brainstorming', 'Communalism', 'Competition', 'Confederation', 'Conflict', 'Cooperation', ""Coup D'etat"", 'Decolonization', 'Democratization', 'Disestablishment', 'Due Process', 'Engagement', 'Ethnic Cleansing', 'Exchange', 'Integration', 'Internationalization', 'Legalization', 'Military Action', 'Nationalization', 'Non-engagement', 'Nonattendance', 'Nonresistance', 'Procession', 'Rally', 'Resistance', 'Return', 'Revolution', 'Separation', 'Social Activity', 'Social Control', 'Socialization', 'Stampede', 'Submission', 'Transaction', 'Vote'], 'the act of disbanding')",What caused destiny child to release a second album?,disbandment
26,26,What is the name of Beyoncé's alter-ego?,Sasha Fierce,following **disbandment** destiny child june released second solo album contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third album sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth album subsequently mellower tone exploring funk soul critically acclaimed fifth studio album beyoncé distinguished previous releases experimental production exploration darker themes,"('disbandment', 1)","('What caused destiny child to release a second album?', 'disbandment', ['Action', 'Assembly', 'Attendance', 'Brainstorming', 'Communalism', 'Competition', 'Confederation', 'Conflict', 'Cooperation', ""Coup D'etat"", 'Decolonization', 'Democratization', 'Disestablishment', 'Due Process', 'Engagement', 'Ethnic Cleansing', 'Exchange', 'Integration', 'Internationalization', 'Legalization', 'Military Action', 'Nationalization', 'Non-engagement', 'Nonattendance', 'Nonresistance', 'Procession', 'Rally', 'Resistance', 'Return', 'Revolution', 'Separation', 'Social Activity', 'Social Control', 'Socialization', 'Stampede', 'Submission', 'Transaction', 'Vote'], 'the act of disbanding')",What caused destiny child to release a second album?,disbandment
27,27,"In her music, what are some recurring elements in them?","love, relationships, and monogamy",self described modern feminist beyoncé creates songs often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold million records solo artist million destiny child making best selling music artists time grammy awards nominated woman award history recording industry association **america** recognized certified artist **america** decade billboard named radio songs artist decade female artist artist millennium time listed among influential people world forbes magazine also listed powerful female musician,"('america', 2)","('Who recognized certified artist?', 'america [TGT] recognized certified artist [TGT] america', ['Word not found in Wordnet. So unable to extract distractors.'], None)",Who recognized certified artist?,america  recognized certified artist  america
28,28,Time magazine named her one of the most 100 what people of the century?,influential,self described modern feminist beyoncé creates songs often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold million records solo **artist** million destiny child making best selling music **artist**s time grammy awards nominated woman award history recording industry association america recognized certified **artist** america decade billboard named radio songs **artist** decade female **artist** **artist** millennium time listed among influential people world forbes magazine also listed powerful female musician,"('artist', 5)","('Beyonce is a certified what?', 'artist [TGT] million destiny child making best selling music [TGT] artist [TGT] s time grammy awards nominated woman award history recording industry association america recognized certified [TGT] artist [TGT] america decade billboard named radio songs [TGT] artist [TGT] decade female [TGT] artist [TGT] [TGT] artist', ['Word not found in Wordnet. So unable to extract distractors.'], None)",Beyonce is a certified what?,artist  million destiny child making best selling music  artist  s time grammy awards nominated woman award history recording industry association america recognized certified  artist  america decade billboard named radio songs  artist  decade female  artist   artist
29,29,Which magazine declared her the most dominant woman musician?,Forbes,self described modern feminist beyoncé creates songs often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold million records solo **artist** million destiny child making best selling music **artist**s time grammy awards nominated woman award history recording industry association america recognized certified **artist** america decade billboard named radio songs **artist** decade female **artist** **artist** millennium time listed among influential people world forbes magazine also listed powerful female musician,"('artist', 5)","('Beyonce is a certified what?', 'artist [TGT] million destiny child making best selling music [TGT] artist [TGT] s time grammy awards nominated woman award history recording industry association america recognized certified [TGT] artist [TGT] america decade billboard named radio songs [TGT] artist [TGT] decade female [TGT] artist [TGT] [TGT] artist', ['Word not found in Wordnet. So unable to extract distractors.'], None)",Beyonce is a certified what?,artist  million destiny child making best selling music  artist  s time grammy awards nominated woman award history recording industry association america recognized certified  artist  america decade billboard named radio songs  artist  decade female  artist   artist
30,30,In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,2000s,self described modern feminist beyoncé creates **songs** often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold million records solo artist million destiny child making best selling music artists time grammy awards nominated woman award history recording industry association america recognized certified artist america decade billboard named radio **songs** artist decade female artist artist millennium time listed among influential people world forbes magazine also listed powerful female musician,"('songs', 2)","('what does beyoncé create?', 'songs [TGT] often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold million records solo artist million destiny child making best selling music artists time grammy awards nominated woman award history recording industry association america recognized certified artist america decade billboard named radio [TGT] songs', ['Word not found in Wordnet. So unable to extract distractors.'], None)",what does beyoncé create?,songs  often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold million records solo artist million destiny child making best selling music artists time grammy awards nominated woman award history recording industry association america recognized certified artist america decade billboard named radio  songs
31,31,What magazine rated Beyonce as the most powerful female musician in 2015?,Forbes,self described modern feminist beyoncé creates songs often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular **music** throughout career spanning years sold million records solo artist million destiny child making best selling **music** artists time grammy awards nominated woman award history recording industry association america recognized certified artist america decade billboard named radio songs artist decade female artist artist millennium time listed among influential people world forbes magazine also listed powerful female **music**ian,"('music', 2)","('What does TGT stand for?', 'music [TGT] throughout career spanning years sold million records solo artist million destiny child making best selling [TGT] music [TGT] artists time grammy awards nominated woman award history recording industry association america recognized certified artist america decade billboard named radio songs artist decade female artist artist millennium time listed among influential people world forbes magazine also listed powerful female [TGT] music', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does TGT stand for?,music  throughout career spanning years sold million records solo artist million destiny child making best selling  music  artists time grammy awards nominated woman award history recording industry association america recognized certified artist america decade billboard named radio songs artist decade female artist artist millennium time listed among influential people world forbes magazine also listed powerful female  music
32,32,How did Beyonce describe herself as a feminist?,modern-day feminist,self described modern feminist beyoncé creates songs often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing **best** entertainers contemporary popular music throughout career spanning years sold million records solo artist million destiny child making **best** selling music artists time grammy awards nominated woman award history recording industry association america recognized certified artist america decade billboard named radio songs artist decade female artist artist millennium time listed among influential people world forbes magazine also listed powerful female musician,"('best', 2)","('What did critics hail from beyonce?', 'best [TGT] entertainers contemporary popular music throughout career spanning years sold million records solo artist million destiny child making [TGT] best', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What did critics hail from beyonce?,best  entertainers contemporary popular music throughout career spanning years sold million records solo artist million destiny child making  best
33,33,In which years did Time rate Beyonce in the 100 most influential people in the world?,2013 and 2014,self described modern feminist beyoncé creates songs often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold **million** records solo artist **million** destiny child making best selling music artists time grammy awards nominated woman award history recording industry association america recognized certified artist america decade billboard named radio songs artist decade female artist artist millennium time listed among influential people world forbes magazine also listed powerful female musician,"('million', 2)","('How many records has beyoncé sold?', 'million [TGT] records solo artist [TGT] million', ['Word not found in Wordnet. So unable to extract distractors.'], None)",How many records has beyoncé sold?,million  records solo artist  million
34,34,How many records has Beyonce sold in her 19 year career?,118 million,self described modern feminist beyoncé creates songs often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold million records solo artist million destiny child making best selling music artists **time** grammy awards nominated woman award history recording industry association america recognized certified artist america decade billboard named radio songs artist decade female artist artist millennium **time** listed among influential people world forbes magazine also listed powerful female musician,"('time', 2)","('grammy awards nominated woman award history recording industry association america recognized what artist?', 'time [TGT] grammy awards nominated woman award history recording industry association america recognized certified artist america decade billboard named radio songs artist decade female artist artist millennium [TGT] time', ['Word not found in Wordnet. So unable to extract distractors.'], None)",grammy awards nominated woman award history recording industry association america recognized what artist?,time  grammy awards nominated woman award history recording industry association america recognized certified artist america decade billboard named radio songs artist decade female artist artist millennium  time
