,Unnamed: 0,question,answer,context,mostUse,Newquestion
10,10,What was the first album Beyoncé released as a solo artist?,Dangerously in Love,**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
11,11,When did Beyoncé release Dangerously in Love?,2003,**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
12,12,How many Grammy awards did Beyoncé win for her first solo album?,five,**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
13,13,What was Beyoncé's role in Destiny's Child?,lead singer,**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
14,14,What was the name of Beyoncé's first solo album?,Dangerously in Love,**beyoncé** giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release **beyoncé** debut album dangerously love established solo artist worldwide earned five grammy awards featured billboard number singles crazy love baby,"('beyoncé', 2)","(""What is the name of Beyonce's debut album dangerously love?"", 'beyoncé [TGT] giselle knowles carter biːˈjɒnseɪ born september american singer songwriter record producer actress born raised houston texas performed various singing dancing competitions child rose fame late lead singer girl group destiny child managed father mathew knowles group became world best selling girl groups time hiatus release [TGT] beyoncé', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
15,15,"After her second solo album, what other entertainment venture did Beyonce explore?",acting,following disbandment destiny child june released second solo **album** contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third **album** sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth **album** subsequently mellower tone exploring funk soul critically acclaimed fifth studio **album** beyoncé distinguished previous releases experimental production exploration darker themes,"('album', 4)","('What album did destiny child june release?', 'album [TGT] contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third [TGT] album [TGT] sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth [TGT] album [TGT] subsequently mellower tone exploring funk soul critically acclaimed fifth studio [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
16,16,Which artist did Beyonce marry?,Jay Z,following disbandment destiny child june released second solo **album** contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third **album** sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth **album** subsequently mellower tone exploring funk soul critically acclaimed fifth studio **album** beyoncé distinguished previous releases experimental production exploration darker themes,"('album', 4)","('What album did destiny child june release?', 'album [TGT] contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third [TGT] album [TGT] sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth [TGT] album [TGT] subsequently mellower tone exploring funk soul critically acclaimed fifth studio [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
17,17,"To set the record for Grammys, how many did Beyonce win?",six,following disbandment destiny child june released second solo **album** contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third **album** sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth **album** subsequently mellower tone exploring funk soul critically acclaimed fifth studio **album** beyoncé distinguished previous releases experimental production exploration darker themes,"('album', 4)","('What album did destiny child june release?', 'album [TGT] contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third [TGT] album [TGT] sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth [TGT] album [TGT] subsequently mellower tone exploring funk soul critically acclaimed fifth studio [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
18,18,For what movie did Beyonce receive  her first Golden Globe nomination?,Dreamgirls,following disbandment destiny child june released second solo **album** contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third **album** sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth **album** subsequently mellower tone exploring funk soul critically acclaimed fifth studio **album** beyoncé distinguished previous releases experimental production exploration darker themes,"('album', 4)","('What album did destiny child june release?', 'album [TGT] contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third [TGT] album [TGT] sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth [TGT] album [TGT] subsequently mellower tone exploring funk soul critically acclaimed fifth studio [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
19,19,When did Beyonce take a hiatus in her career and take control of her management?,2010,following disbandment destiny child june released second solo **album** contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third **album** sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth **album** subsequently mellower tone exploring funk soul critically acclaimed fifth studio **album** beyoncé distinguished previous releases experimental production exploration darker themes,"('album', 4)","('What album did destiny child june release?', 'album [TGT] contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third [TGT] album [TGT] sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth [TGT] album [TGT] subsequently mellower tone exploring funk soul critically acclaimed fifth studio [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
20,20,Which album was darker in tone from her previous work?,Beyoncé,following disbandment destiny child june released second solo **album** contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third **album** sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth **album** subsequently mellower tone exploring funk soul critically acclaimed fifth studio **album** beyoncé distinguished previous releases experimental production exploration darker themes,"('album', 4)","('What album did destiny child june release?', 'album [TGT] contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third [TGT] album [TGT] sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth [TGT] album [TGT] subsequently mellower tone exploring funk soul critically acclaimed fifth studio [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
21,21,"After what movie portraying Etta James, did Beyonce create Sasha Fierce?",Cadillac Records,following disbandment destiny child june released second solo **album** contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third **album** sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth **album** subsequently mellower tone exploring funk soul critically acclaimed fifth studio **album** beyoncé distinguished previous releases experimental production exploration darker themes,"('album', 4)","('What album did destiny child june release?', 'album [TGT] contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third [TGT] album [TGT] sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth [TGT] album [TGT] subsequently mellower tone exploring funk soul critically acclaimed fifth studio [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
22,22,When did Destiny's Child end their group act?,June 2005,following disbandment destiny child june released second solo **album** contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third **album** sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth **album** subsequently mellower tone exploring funk soul critically acclaimed fifth studio **album** beyoncé distinguished previous releases experimental production exploration darker themes,"('album', 4)","('What album did destiny child june release?', 'album [TGT] contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third [TGT] album [TGT] sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth [TGT] album [TGT] subsequently mellower tone exploring funk soul critically acclaimed fifth studio [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
23,23,What was the name of Beyoncé's second solo album?,B'Day,following disbandment destiny child june released second solo **album** contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third **album** sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth **album** subsequently mellower tone exploring funk soul critically acclaimed fifth studio **album** beyoncé distinguished previous releases experimental production exploration darker themes,"('album', 4)","('What album did destiny child june release?', 'album [TGT] contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third [TGT] album [TGT] sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth [TGT] album [TGT] subsequently mellower tone exploring funk soul critically acclaimed fifth studio [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
24,24,"What was Beyoncé's first acting job, in 2006?",Dreamgirls,following disbandment destiny child june released second solo **album** contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third **album** sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth **album** subsequently mellower tone exploring funk soul critically acclaimed fifth studio **album** beyoncé distinguished previous releases experimental production exploration darker themes,"('album', 4)","('What album did destiny child june release?', 'album [TGT] contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third [TGT] album [TGT] sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth [TGT] album [TGT] subsequently mellower tone exploring funk soul critically acclaimed fifth studio [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
25,25,Who is Beyoncé married to?,Jay Z,following disbandment destiny child june released second solo **album** contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third **album** sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth **album** subsequently mellower tone exploring funk soul critically acclaimed fifth studio **album** beyoncé distinguished previous releases experimental production exploration darker themes,"('album', 4)","('What album did destiny child june release?', 'album [TGT] contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third [TGT] album [TGT] sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth [TGT] album [TGT] subsequently mellower tone exploring funk soul critically acclaimed fifth studio [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
26,26,What is the name of Beyoncé's alter-ego?,Sasha Fierce,following disbandment destiny child june released second solo **album** contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third **album** sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth **album** subsequently mellower tone exploring funk soul critically acclaimed fifth studio **album** beyoncé distinguished previous releases experimental production exploration darker themes,"('album', 4)","('What album did destiny child june release?', 'album [TGT] contained hits déjà irreplaceable beautiful liar beyoncé also ventured acting golden globe nominated performance dreamgirls starring roles pink panther obsessed marriage rapper portrayal etta james cadillac records influenced third [TGT] album [TGT] sasha fierce birth alter sasha fierce earned record setting grammy awards including song year single ladies ring beyoncé took hiatus music took management career fourth [TGT] album [TGT] subsequently mellower tone exploring funk soul critically acclaimed fifth studio [TGT] album', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
27,27,"In her music, what are some recurring elements in them?","love, relationships, and monogamy",self described modern feminist beyoncé creates songs often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold million records solo **artist** million destiny child making best selling music **artist** time grammy awards nominated woman award history recording industry association america recognized certified **artist** america decade billboard named radio songs **artist** decade female **artist** **artist** millennium time listed among influential people world forbes magazine also listed powerful female musician,"('artist', 6)","('Beyonce is a certified what?', 'artist [TGT] million destiny child making best selling music [TGT] artist [TGT] time grammy awards nominated woman award history recording industry association america recognized certified [TGT] artist [TGT] america decade billboard named radio songs [TGT] artist [TGT] decade female [TGT] artist [TGT] [TGT] artist', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
28,28,Time magazine named her one of the most 100 what people of the century?,influential,self described modern feminist beyoncé creates songs often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold million records solo **artist** million destiny child making best selling music **artist** time grammy awards nominated woman award history recording industry association america recognized certified **artist** america decade billboard named radio songs **artist** decade female **artist** **artist** millennium time listed among influential people world forbes magazine also listed powerful female musician,"('artist', 6)","('Beyonce is a certified what?', 'artist [TGT] million destiny child making best selling music [TGT] artist [TGT] time grammy awards nominated woman award history recording industry association america recognized certified [TGT] artist [TGT] america decade billboard named radio songs [TGT] artist [TGT] decade female [TGT] artist [TGT] [TGT] artist', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
29,29,Which magazine declared her the most dominant woman musician?,Forbes,self described modern feminist beyoncé creates songs often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold million records solo **artist** million destiny child making best selling music **artist** time grammy awards nominated woman award history recording industry association america recognized certified **artist** america decade billboard named radio songs **artist** decade female **artist** **artist** millennium time listed among influential people world forbes magazine also listed powerful female musician,"('artist', 6)","('Beyonce is a certified what?', 'artist [TGT] million destiny child making best selling music [TGT] artist [TGT] time grammy awards nominated woman award history recording industry association america recognized certified [TGT] artist [TGT] america decade billboard named radio songs [TGT] artist [TGT] decade female [TGT] artist [TGT] [TGT] artist', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
30,30,In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,2000s,self described modern feminist beyoncé creates songs often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold million records solo **artist** million destiny child making best selling music **artist** time grammy awards nominated woman award history recording industry association america recognized certified **artist** america decade billboard named radio songs **artist** decade female **artist** **artist** millennium time listed among influential people world forbes magazine also listed powerful female musician,"('artist', 6)","('Beyonce is a certified what?', 'artist [TGT] million destiny child making best selling music [TGT] artist [TGT] time grammy awards nominated woman award history recording industry association america recognized certified [TGT] artist [TGT] america decade billboard named radio songs [TGT] artist [TGT] decade female [TGT] artist [TGT] [TGT] artist', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
31,31,What magazine rated Beyonce as the most powerful female musician in 2015?,Forbes,self described modern feminist beyoncé creates songs often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold million records solo **artist** million destiny child making best selling music **artist** time grammy awards nominated woman award history recording industry association america recognized certified **artist** america decade billboard named radio songs **artist** decade female **artist** **artist** millennium time listed among influential people world forbes magazine also listed powerful female musician,"('artist', 6)","('Beyonce is a certified what?', 'artist [TGT] million destiny child making best selling music [TGT] artist [TGT] time grammy awards nominated woman award history recording industry association america recognized certified [TGT] artist [TGT] america decade billboard named radio songs [TGT] artist [TGT] decade female [TGT] artist [TGT] [TGT] artist', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
32,32,How did Beyonce describe herself as a feminist?,modern-day feminist,self described modern feminist beyoncé creates songs often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold million records solo **artist** million destiny child making best selling music **artist** time grammy awards nominated woman award history recording industry association america recognized certified **artist** america decade billboard named radio songs **artist** decade female **artist** **artist** millennium time listed among influential people world forbes magazine also listed powerful female musician,"('artist', 6)","('Beyonce is a certified what?', 'artist [TGT] million destiny child making best selling music [TGT] artist [TGT] time grammy awards nominated woman award history recording industry association america recognized certified [TGT] artist [TGT] america decade billboard named radio songs [TGT] artist [TGT] decade female [TGT] artist [TGT] [TGT] artist', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
33,33,In which years did Time rate Beyonce in the 100 most influential people in the world?,2013 and 2014,self described modern feminist beyoncé creates songs often characterized themes love relationships monogamy well female sexuality empowerment stage dynamic highly choreographed performances critics hailing best entertainers contemporary popular music throughout career spanning years sold million records solo **artist** million destiny child making best selling music **artist** time grammy awards nominated woman award history recording industry association america recognized certified **artist** america decade billboard named radio songs **artist** decade female **artist** **artist** millennium time listed among influential people world forbes magazine also listed powerful female musician,"('artist', 6)","('Beyonce is a certified what?', 'artist [TGT] million destiny child making best selling music [TGT] artist [TGT] time grammy awards nominated woman award history recording industry association america recognized certified [TGT] artist [TGT] america decade billboard named radio songs [TGT] artist [TGT] decade female [TGT] artist [TGT] [TGT] artist', ['Word not found in Wordnet. So unable to extract distractors.'], None)"
