,question,distractor3,distractor1,distractor2,correct_answer,support,mostUse,newQuestion,Question_Generate,Answer_Generate
10,"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",usually metal,much metal,Trap metal,active metal,keep **iron** corroding keep painted layer paint prevents water oxygen necessary rust formation coming contact **iron** long paint remains intact **iron** protected corrosion strategies include alloying **iron** metals example stainless steel mostly **iron** chromium chromium tends collect near surface forms oxide layer protects **iron** zinc plated galvanized **iron** uses different strategy zinc easily oxidized **iron** zinc lower reduction potential since zinc lower reduction potential active metal thus even zinc coating scratched zinc still oxidize **iron** suggests approach work active metals another important protect metal make cathode galvanic cell cathodic protection used metals **iron** example rusting underground **iron** storage tanks pipes prevented greatly reduced connecting active metal zinc magnesium figure also used protect metal parts water heaters active metals lower reduction potential called sacrificial anodes used corrode oxidize anode metal protected serves cathode oxidize corrode anodes properly monitored periodically replaced useful lifetime **iron** storage tank greatly extended,"('iron', 12)","('What does keep iron corroding?', 'iron [TGT] corroding keep painted layer paint prevents water oxygen necessary rust formation coming contact [TGT] iron [TGT] long paint remains intact [TGT] iron [TGT] protected corrosion strategies include alloying [TGT] iron [TGT] metals example stainless steel mostly [TGT] iron [TGT] chromium chromium tends collect near surface forms oxide layer protects [TGT] iron [TGT] zinc plated galvanized [TGT] iron [TGT] uses different strategy zinc easily oxidized [TGT] iron [TGT] zinc lower reduction potential since zinc lower reduction potential active metal thus even zinc coating scratched zinc still oxidize [TGT] iron [TGT] suggests approach work active metals another important protect metal make cathode galvanic cell cathodic protection used metals [TGT] iron [TGT] example rusting underground [TGT] iron [TGT] storage tanks pipes prevented greatly reduced connecting active metal zinc magnesium figure also used protect metal parts water heaters active metals lower reduction potential called sacrificial anodes used corrode oxidize anode metal protected serves cathode oxidize corrode anodes properly monitored periodically replaced useful lifetime [TGT] iron', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does keep iron corroding?,iron  corroding keep painted layer paint prevents water oxygen necessary rust formation coming contact  iron  long paint remains intact  iron  protected corrosion strategies include alloying  iron  metals example stainless steel mostly  iron  chromium chromium tends collect near surface forms oxide layer protects  iron  zinc plated galvanized  iron  uses different strategy zinc easily oxidized  iron  zinc lower reduction potential since zinc lower reduction potential active metal thus even zinc coating scratched zinc still oxidize  iron  suggests approach work active metals another important protect metal make cathode galvanic cell cathodic protection used metals  iron  example rusting underground  iron  storage tanks pipes prevented greatly reduced connecting active metal zinc magnesium figure also used protect metal parts water heaters active metals lower reduction potential called sacrificial anodes used corrode oxidize anode metal protected serves cathode oxidize corrode anodes properly monitored periodically replaced useful lifetime  iron
11,What is controlled by both genes and experiences in a given envionment?,learned behaviors,reflexes,instincts,animal behaviors,animal behaviors controlled genes **experiences** given environment,"('experiences', 1)","('Animal behaviors controlled genes what given environment?', 'experiences', ['Acculturation', 'Belief', 'Education', 'Experience', 'Food', 'Goal', 'Heresy', 'Idea', 'Ignorance', 'Issue', 'Kernel', 'Knowledge Domain', 'Lore', 'Metaknowledge', 'Noumenon', 'Object', 'Representation', 'Topic', 'Tradition', 'Unbelief', 'Universe', 'Wisdom'], 'the content of direct observation or participation in an event')",Animal behaviors controlled genes what given environment?,experiences
12,What tells you how much of the food you should eat to get the nutrients listed on the label?,longer size,regular size,scoop size,serving size,information listed right label tells **look** label **look** serving size serving size tells much food nutrients listed label food label pictured serving calories serving listed next food calories serving,"('look', 2)","('What does the information listed on the right label tell?', 'look [TGT] label [TGT] look', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does the information listed on the right label tell?,look  label  look
13,What are used to write nuclear equations for radioactive decay?,radioactive symbols,trigonometric symbols,critical symbols,nuclear symbols,nuclear symbols used **write** nuclear equations radioactive decay consider example beta minus decay thorium protactinium reaction represented equation,"('write', 1)","('Nuclear symbols are used to do what with nuclear equations?', 'write', ['Word not found in Wordnet. So unable to extract distractors.'], None)",Nuclear symbols are used to do what with nuclear equations?,write
14,What is controlled by regulatory proteins that bind to regulatory elements on dna?,substance transcription,amino acids,mRNA,gene transcription,gene transcription controlled regulatory proteins bind regulatory elements proteins usually **either** activate repress transcription,"('either', 1)","('Do regulatory proteins usually activate or repress transcription?', 'either', ['Word not found in Wordnet. So unable to extract distractors.'], None)",Do regulatory proteins usually activate or repress transcription?,either
15,Boron only occurs naturally in compounds with what element?,carbon,helium,nitrogen,oxygen,occurrence preparation compounds boron silicon boron constitutes less weight earth crust nature occurs compounds oxygen boron widely distributed volcanic regions boric acid lake regions including desert areas california borates salts boron oxyacids borax na2b4o7 elemental boron chemically inert room temperature reacting fluorine oxygen form boron trifluoride boric **oxide** b2o3 respectively higher temperatures boron reacts nonmetals except tellurium noble gases nearly metals oxidizes b2o3 heated concentrated nitric sulfuric acid boron react nonoxidizing acids many boron compounds react readily water give boric acid sometimes written h3bo3 reduction boric **oxide** magnesium powder forms boron pure brown amorphous powder amorphous substance material appears solid long range order like true solid treatment hydrochloric acid removes magnesium **oxide** purification boron begins conversion impure boron boron trichloride next step heat mixture boron trichloride hydrogen,"('oxide', 3)","('What are the temperatures at which boron reacts nonmetals?', 'oxide [TGT] b2o3 respectively higher temperatures boron reacts nonmetals except tellurium noble gases nearly metals oxidizes b2o3 heated concentrated nitric sulfuric acid boron react nonoxidizing acids many boron compounds react readily water give boric acid sometimes written h3bo3 reduction boric [TGT] oxide [TGT] magnesium powder forms boron pure brown amorphous powder amorphous substance material appears solid long range order like true solid treatment hydrochloric acid removes magnesium [TGT] oxide', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What are the temperatures at which boron reacts nonmetals?,oxide  b2o3 respectively higher temperatures boron reacts nonmetals except tellurium noble gases nearly metals oxidizes b2o3 heated concentrated nitric sulfuric acid boron react nonoxidizing acids many boron compounds react readily water give boric acid sometimes written h3bo3 reduction boric  oxide  magnesium powder forms boron pure brown amorphous powder amorphous substance material appears solid long range order like true solid treatment hydrochloric acid removes magnesium  oxide
16,What organ systems link exchange surfaces with cells throughout the body?,nervous,vascular,pulmonary,circulatory,circulatory systems link **exchange** surfaces cells throughout body,"('exchange', 1)","('What do circulatory systems link to cells throughout the body?', 'exchange', ['Allotropy', 'Crystallization', 'Polymorphism', 'State Of Matter', 'Valency'], 'chemical process in which one atom or ion or group changes places with another')",What do circulatory systems link to cells throughout the body?,exchange
17,What occurs when the immune system attacks a harmless substance that enters the body from the outside?,plague,panic attack,nausea,allergy,**allergy** occurs immune system attacks harmless substance enters body outside substance causes **allergy** called allergen immune system allergen causes symptoms **allergy**,"('allergy', 3)","('What does allergy occur when immune system attacks harmless substance?', 'allergy [TGT] occurs immune system attacks harmless substance enters body outside substance causes [TGT] allergy [TGT] called allergen immune system allergen causes symptoms [TGT] allergy', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does allergy occur when immune system attacks harmless substance?,allergy  occurs immune system attacks harmless substance enters body outside substance causes  allergy  called allergen immune system allergen causes symptoms  allergy
18,"Fertilization is the union of a sperm and egg, resulting in the formation of what?",a bacteriophage,a cytoplasm,a nuclei,a zygote,fertilization **union** sperm resulting formation zygote,"('union', 1)","('What type of fertilization produces a zygote?', 'union', ['Autoeroticism', 'Bestiality', 'Bisexuality', 'Bondage', 'Carnal Abuse', 'Conception', 'Coupling', 'Foreplay', 'Heterosexuality', 'Homosexuality', 'Lechery', 'Outercourse', 'Perversion', 'Pleasure', 'Promiscuity', 'Reproduction', 'Safe Sex', 'Sexual Intercourse', 'Sexual Love'], 'the act of pairing a male and female for reproductive purposes')",What type of fertilization produces a zygote?,union
19,The plants alternation between haploid and diploud generations allow it to do what?,reproduce asexually and biologically,reproduce asexually and simultaneously,reproduce sexually and autonomously,reproduce asexually and sexually,plants characteristic life cycle includes alternation generations plants alternate haploid diploid generations alternation generations allows asexual sexual **reproduction** asexual **reproduction** spores produces haploid individuals called gametophytes sexual **reproduction** gametes fertilization produces diploid individuals called sporophytes typical plant life cycle diagrammed figure,"('reproduction', 3)","('What does TGT stand for?', 'reproduction [TGT] asexual [TGT] reproduction [TGT] spores produces haploid individuals called gametophytes sexual [TGT] reproduction', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What does TGT stand for?,reproduction  asexual  reproduction  spores produces haploid individuals called gametophytes sexual  reproduction
20,Most of the chemical reactions in the body are facilitated by what?,carbohydrates,proteins,vitamins,enzymes,enzymes critical body healthy functioning assist **example** breakdown food conversion energy fact chemical reactions body facilitated enzymes,"('example', 1)","('What is an example of a breakdown food conversion energy fact?', 'example', ['Acquaintance', 'Background', 'Circumstance', 'Datum', 'Descriptor', 'Evidence', 'Fact', 'Predictor', 'Stimulation', 'Tip-off'], 'an item of information that is typical of a class or group')",What is an example of a breakdown food conversion energy fact?,example
21,What is the termination of a pregnancy in progress called?,delivery,contraception,miscarriage,abortion,,none,,,
22,"Cutting down on the use of chemical fertilizers and preserving wetlands are ways to prevent what ""unlivable"" regions in bodies of water?",fresh zones,inhabitable zones,hostile zones,dead zones,cutting chemical **fertilizers** prevent dead zones bodies water preserving wetlands also important wetlands habitats swamps marshes bogs ground soggy covered water much year wetlands slow filter runoff reaches bodies water wetlands also provide breeding grounds many different species organisms,"('fertilizers', 1)","('What prevents dead zones?', 'fertilizers', ['Alar', 'Bactericide', 'Carbon Tetrahalide', 'Carrier', 'Compound', 'Congener', 'Explosive', 'Fertilizer', 'Flux', 'Fraction', 'Fumigant', 'Herbicide', 'Intermediate', 'Larvicide', 'Pesticide', 'Phytochemical', 'Product', 'Reactant', 'Restrainer', 'Softener', 'Soil Conditioner', 'Stabilizer'], 'any substance such as manure or a mixture of nitrates used to make soil more fertile')",What prevents dead zones?,fertilizers
23,Which muscles allow your fingers to also make precise movements for actions?,fine movement muscles,paired muscles,motoric muscles,intrinsic muscles,intrinsic muscles hand intrinsic muscles hand originate insert within figure muscles allow fingers also make precise **movements** actions typing writing muscles divided three groups thenar muscles radial aspect palm hypothenar muscles medial aspect palm intermediate muscles midpalmar thenar muscles include abductor pollicis brevis opponens pollicis flexor pollicis brevis adductor pollicis muscles form thenar eminence rounded contour base thumb thumb **movements** thumb play integral role precise **movements** hand hypothenar muscles include abductor digiti minimi flexor digiti minimi brevis opponens digiti minimi muscles form hypothenar eminence rounded contour little finger little finger finally intermediate muscles fingers include lumbrical palmar interossei dorsal interossei,"('movements', 3)","('What type of movements are hand hypothenar muscles?', 'movements [TGT] actions typing writing muscles divided three groups thenar muscles radial aspect palm hypothenar muscles medial aspect palm intermediate muscles midpalmar thenar muscles include abductor pollicis brevis opponens pollicis flexor pollicis brevis adductor pollicis muscles form thenar eminence rounded contour base thumb thumb [TGT] movements [TGT] thumb play integral role precise [TGT] movements', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What type of movements are hand hypothenar muscles?,movements  actions typing writing muscles divided three groups thenar muscles radial aspect palm hypothenar muscles medial aspect palm intermediate muscles midpalmar thenar muscles include abductor pollicis brevis opponens pollicis flexor pollicis brevis adductor pollicis muscles form thenar eminence rounded contour base thumb thumb  movements  thumb play integral role precise  movements
24,Testing what usually requires making observations or performing experiments?,homeostasis,variables,conclusion,hypothesis,usually testing hypothesis requires making **observations** performing experiments case look existing scientific literature either hypotheses disproved supported data,"('observations', 1)","('What does testing hypothesis usually require making?', 'observations', ['Actinometry', 'Algometry', 'Anemography', 'Anemometry', 'Angulation', 'Anthropometry', 'Arterial Blood Gases', 'Audiometry', 'Bathymetry', 'Calorimetry', 'Cephalometry', 'Densitometry', 'Dosimetry', 'Fetometry', 'Hydrometry', 'Hypsometry', 'Mental Measurement', 'Micrometry', 'Observation', 'Pelvimetry', 'Photometry', 'Quantification', 'Quantitative Analysis', 'Radioactive Dating', 'Reading', 'Sampling', 'Scaling', 'Seismography', 'Sound Ranging', 'Sounding', 'Spirometry', 'Surveying', 'Telemetry', 'Thermogravimetry', 'Thermometry', 'Tonometry', 'Viscometry'], 'the act of making and recording a measurement')",What does testing hypothesis usually require making?,observations
25,This sharing of electrons produces what is known as a covalent bond. covalent bonds are ~20 to 50 times stronger than what?,gravitational pull,Mendelian systems,Newton's third law,van der waals interactions,electron become part molecule electron system sharing electrons produces known covalent bond covalent bonds times stronger waals interactions exactly mean basically takes times energy break covalent bond compared waals interaction bonded form atoms molecule always **stable** unbounded form **stable** enough withstand energy delivered collisions neighboring molecules different bonds different atoms different molecular contexts differ terms bond stability bond energy refers energy needed break particular bond molecule **stable** bond energies associated bonded atoms within molecule high enough survive energy delivered molecule either collisions neighboring molecules absorption energy light atoms form covalent bond individual waals surfaces merge produce molecular waals surface number ways draw molecules spacefilling waals surface view realistic least purposes realistic also confusing since obscures underlying molecular structure atoms molecule linked together seen representations simple molecule molecules become larger case many biologically important molecules become impossible appreciate underlying organization based waals surface representation form **stable** entity surprising perhaps properties molecule quite distinct although certainly influenced properties atoms composed first order approximation molecule properties based shape dictated various atoms withjn molecule connected another geometries imposed atom underlying quantum mechanical properties particularly molecules larger often biological systems interactions different parts molecule another atoms common biological systems hydrogen form single covalent bond others make oxygen sulfur three nitrogen four carbon five phosphorus bonds addition smaller molecules biological systems contain number distinct types extremely large molecules composed many thousands atoms known macromolecules macromolecules rigid often fold back leading intramolecular interactions also interactions molecules strength specificity interactions vary dramatically even small changes molecular structure caused mutations allelic variations dramatic effects,"('stable', 4)","('What kind of atoms are stable?', 'stable [TGT] unbounded form [TGT] stable [TGT] enough withstand energy delivered collisions neighboring molecules different bonds different atoms different molecular contexts differ terms bond stability bond energy refers energy needed break particular bond molecule [TGT] stable [TGT] bond energies associated bonded atoms within molecule high enough survive energy delivered molecule either collisions neighboring molecules absorption energy light atoms form covalent bond individual waals surfaces merge produce molecular waals surface number ways draw molecules spacefilling waals surface view realistic least purposes realistic also confusing since obscures underlying molecular structure atoms molecule linked together seen representations simple molecule molecules become larger case many biologically important molecules become impossible appreciate underlying organization based waals surface representation form [TGT] stable', ['Word not found in Wordnet. So unable to extract distractors.'], None)",What kind of atoms are stable?,stable  unbounded form  stable  enough withstand energy delivered collisions neighboring molecules different bonds different atoms different molecular contexts differ terms bond stability bond energy refers energy needed break particular bond molecule  stable  bond energies associated bonded atoms within molecule high enough survive energy delivered molecule either collisions neighboring molecules absorption energy light atoms form covalent bond individual waals surfaces merge produce molecular waals surface number ways draw molecules spacefilling waals surface view realistic least purposes realistic also confusing since obscures underlying molecular structure atoms molecule linked together seen representations simple molecule molecules become larger case many biologically important molecules become impossible appreciate underlying organization based waals surface representation form  stable
